vehicle_no,GPSVendor,Model,Type,year_made,tail_lift,status,possession,admin_station_id,category_id,color_id,vehicle_owner_id,vehicle_group_id
BML 5453,GUS,Hino WU640R-HKMLL3,Box Truck,2013,TRUE,A,MKZ,434,20,16,4,67
BMP 4945,GUS,Toyota Hiace KDH200R-RBMDYE,Panel Van,2014,TRUE,A,SGT,507,15,16,4,100
BMR 8499,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,PKL,464,20,16,5,79
BMS 4109,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,BYN,323,20,16,4,21
BMS 4115,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,SGB,505,20,16,4,99
BMS 4136,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,SHM,508,20,16,4,101
BMS 4142,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,PBR,455,20,16,4,76
BMS 4235,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,BGI,302,20,16,4,9
BMS 4297,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,FLT BUF 'B',493,20,16,4,90
BMS 4323,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,CRS,328,20,16,4,23
BMS 4376,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,POI,472,15,16,4,83
BMS 4391,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,SGT,507,15,16,4,100
BMS 4937,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,AOR,285,15,16,4,5
BMS 4943,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,POI,472,15,16,4,83
BMS 7951,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2013,TRUE,A,SEG,502,15,16,4,97
BMS 7955,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2013,TRUE,A,KUL,406,15,16,4,60
BMS 8047,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2013,TRUE,A,SKU,515,15,16,4,103
BMY 5230,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,KAM,359,20,16,4,46
BMY 5232,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,PKL,464,20,16,4,79
BMY 6017,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2014,TRUE,A,IPH,347,15,16,4,39
